"Folder Name","Folder Path","File name","Download Link","Preview Link","File Size","Created At","Image Link"
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0189-65.jpg","https://drive.google.com/uc?id=1bduurKCCtJ2jgZMUk3ik2NGXOcSFymMC&export=download","https://drive.google.com/uc?id=1bduurKCCtJ2jgZMUk3ik2NGXOcSFymMC&export=view","8.54 MB","August 13, 2023 at 9:17:16 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0188-64.jpg","https://drive.google.com/uc?id=1TE6MtxXTm1zWb-Y0a47Rkgx3bizVGelT&export=download","https://drive.google.com/uc?id=1TE6MtxXTm1zWb-Y0a47Rkgx3bizVGelT&export=view","8.66 MB","August 13, 2023 at 9:17:11 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0174-63.jpg","https://drive.google.com/uc?id=11VN6tGjmUYcNBJYVBV6G6ap2th-wl6yR&export=download","https://drive.google.com/uc?id=11VN6tGjmUYcNBJYVBV6G6ap2th-wl6yR&export=view","9.05 MB","August 13, 2023 at 9:17:06 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0167-62.jpg","https://drive.google.com/uc?id=1uZUY_A1ICJidoxfWhUN8nVPQiKHTeuvj&export=download","https://drive.google.com/uc?id=1uZUY_A1ICJidoxfWhUN8nVPQiKHTeuvj&export=view","8.71 MB","August 13, 2023 at 9:17:01 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0150-52.jpg","https://drive.google.com/uc?id=1ZpWPfdZ5mJRc9N8w5Ig0ymZ0-dL5Amml&export=download","https://drive.google.com/uc?id=1ZpWPfdZ5mJRc9N8w5Ig0ymZ0-dL5Amml&export=view","6.73 MB","August 13, 2023 at 9:15:21 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0149-51.jpg","https://drive.google.com/uc?id=1aEkWzQOgtxIKj0GNibXY9JtyirX6HUZQ&export=download","https://drive.google.com/uc?id=1aEkWzQOgtxIKj0GNibXY9JtyirX6HUZQ&export=view","8.88 MB","August 13, 2023 at 9:15:15 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0146-49.jpg","https://drive.google.com/uc?id=1ZhBG7G4pv42gzLh1QbdX1sCN163dMyTL&export=download","https://drive.google.com/uc?id=1ZhBG7G4pv42gzLh1QbdX1sCN163dMyTL&export=view","4.89 MB","August 13, 2023 at 9:15:01 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0145-48.jpg","https://drive.google.com/uc?id=11L-Nkp3kl__9O23LBiveNqTiYSE8MaOr&export=download","https://drive.google.com/uc?id=11L-Nkp3kl__9O23LBiveNqTiYSE8MaOr&export=view","5.35 MB","August 13, 2023 at 9:14:56 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0141-47.jpg","https://drive.google.com/uc?id=18Rha-xxE7QoHrHo8WorUYWGaafPj8Lmt&export=download","https://drive.google.com/uc?id=18Rha-xxE7QoHrHo8WorUYWGaafPj8Lmt&export=view","5.58 MB","August 13, 2023 at 9:14:50 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0140-46.jpg","https://drive.google.com/uc?id=1-PfVZ2i7ooBoQ4SIUBypcmU2DSIRm6kj&export=download","https://drive.google.com/uc?id=1-PfVZ2i7ooBoQ4SIUBypcmU2DSIRm6kj&export=view","6.47 MB","August 13, 2023 at 9:14:46 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0139-45.jpg","https://drive.google.com/uc?id=1LhkF8F-jsO4uFYa4eoQTe7u3J7zATN-s&export=download","https://drive.google.com/uc?id=1LhkF8F-jsO4uFYa4eoQTe7u3J7zATN-s&export=view","8.54 MB","August 13, 2023 at 9:14:40 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0123-43.jpg","https://drive.google.com/uc?id=10bEUrsmJFEfLV1xBY7plx0D3YxqsMINV&export=download","https://drive.google.com/uc?id=10bEUrsmJFEfLV1xBY7plx0D3YxqsMINV&export=view","7.16 MB","August 13, 2023 at 9:14:33 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0118-41.jpg","https://drive.google.com/uc?id=14DXHIqb4HnDgcgyKgGVcrhJQCOwkyO53&export=download","https://drive.google.com/uc?id=14DXHIqb4HnDgcgyKgGVcrhJQCOwkyO53&export=view","7.81 MB","August 13, 2023 at 9:14:16 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0120-42.jpg","https://drive.google.com/uc?id=1YyaxnLXaRWzOXjt3aGA39Lth6VUyP5bY&export=download","https://drive.google.com/uc?id=1YyaxnLXaRWzOXjt3aGA39Lth6VUyP5bY&export=view","7.18 MB","August 13, 2023 at 9:14:24 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0111-40.jpg","https://drive.google.com/uc?id=1MJ4Jj5RjE9P_LsnAc5AL0awwUwT_1vid&export=download","https://drive.google.com/uc?id=1MJ4Jj5RjE9P_LsnAc5AL0awwUwT_1vid&export=view","6.98 MB","August 13, 2023 at 9:14:07 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0101-38.jpg","https://drive.google.com/uc?id=1Gi68NqB1lzCraUOCS3I7SRvKtI8BEfwd&export=download","https://drive.google.com/uc?id=1Gi68NqB1lzCraUOCS3I7SRvKtI8BEfwd&export=view","7.58 MB","August 13, 2023 at 9:13:55 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0102-39.jpg","https://drive.google.com/uc?id=19w-KhgUncCbdoDRq3_gD4ePRKyAImGew&export=download","https://drive.google.com/uc?id=19w-KhgUncCbdoDRq3_gD4ePRKyAImGew&export=view","6.42 MB","August 13, 2023 at 9:14:01 PM",""
